disease_id,disease_name,clinical_scope,body_system,overview,common_symptoms,red_flags,follow_up_questions,emergency_triggers,likely_causes_or_associations,student_context,triage_level_hint,triage_advice,self_care_guidance,referral_guidance,differential_considerations,source_note,validation_status
D0048,Acute Stress Reaction,Mental Health/Neurology,Mental Health,"Screening profile for Acute Stress Reaction. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""abnormal involuntary movements"", ""sharp chest pain"", ""headache"", ""dizziness"", ""depressive or psychotic symptoms"", ""fatigue"", ""burning abdominal pain"", ""insomnia"", ""depression"", ""shortness of breath"", ""poor sleep"", ""anxiety""]","[""sharp chest pain"", ""shortness of breath"", ""seizure"", ""fainting"", ""confusion"", ""new weakness"", ""severe headache"", ""neck stiffness""]","[""Are you experiencing sharp chest pain?"", ""Are you experiencing shortness of breath?"", ""Are you experiencing abnormal involuntary movements?"", ""Are you experiencing headache?"", ""Are you experiencing dizziness?"", ""Are you experiencing depressive or psychotic symptoms?"", ""When did the symptom start?"", ""Is there fever, neck stiffness, fainting, or confusion?"", ""Any recent stress, poor sleep, or panic symptoms?"", ""Any head injury?"", ""Is the headache sudden or severe?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""sharp chest pain"", ""shortness of breath"", ""seizure"", ""fainting"", ""confusion""]","[""stress"", ""sleep deprivation"", ""infection-related headache"", ""dehydration"", ""neurological causes if red flags are present""]","Relevant to academic stress, sleep deprivation, examinations, and social pressures.",Routine to urgent depending on red flags,"Screen for neurological red flags and urgent symptoms; encourage mental health support for stress, anxiety, or persistent low mood.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Acute Stress Reaction"", ""Tension headache"", ""Migraine"", ""Anxiety/panic"", ""Meningitis concern"", ""Seizure disorder""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0049,Multiple Sclerosis,Neurological,Neurological,"Screening profile for Multiple Sclerosis. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""abnormal involuntary movements"", ""leg weakness"", ""loss of sensation"", ""fatigue"", ""disturbance of memory"", ""weakness"", ""problems with movement"", ""paresthesia"", ""headache"", ""dizziness"", ""fever"", ""pain""]","[""loss of sensation"", ""disturbance of memory"", ""focal weakness"", ""severe pain"", ""confusion"", ""difficulty breathing"", ""fainting""]","[""Are you experiencing loss of sensation?"", ""Are you experiencing disturbance of memory?"", ""Are you experiencing focal weakness?"", ""Are you experiencing abnormal involuntary movements?"", ""Are you experiencing leg weakness?"", ""Are you experiencing fatigue?"", ""When did symptoms start?"", ""Are symptoms worsening?"", ""Any fever, severe pain, or breathing difficulty?"", ""Any medication or allergy history?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""loss of sensation"", ""disturbance of memory"", ""focal weakness"", ""severe pain"", ""confusion""]","[""infection"", ""inflammation"", ""injury"", ""stress"", ""environmental exposure""]",Relevant to student health screening and triage in campus clinics.,Routine to urgent depending on red flags,"Screen for severity, duration, red flags, and refer for clinical assessment when symptoms persist or worsen.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Multiple Sclerosis"", ""Infection"", ""Inflammation"", ""Injury"", ""Stress-related symptoms""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0050,Otitis Media,Respiratory/ENT,Respiratory,"Screening profile for Otitis Media. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""vomiting"", ""ear pain"", ""coryza"", ""diminished hearing"", ""cough"", ""fluid in ear"", ""pulling at ears"", ""fever"", ""plugged feeling in ear"", ""nasal congestion"", ""sore throat"", ""runny nose"", ""catarrh"", ""sneezing""]","[""vomiting"", ""fever"", ""difficulty breathing"", ""chest pain"", ""blue lips"", ""low spo2"", ""coughing blood"", ""severe wheezing""]","[""Are you experiencing vomiting?"", ""Are you experiencing fever?"", ""Are you experiencing ear pain?"", ""Are you experiencing coryza?"", ""Are you experiencing diminished hearing?"", ""Are you experiencing cough?"", ""How long has the cough or throat symptom been present?"", ""Is there fever, chills, or body pain?"", ""Is there shortness of breath or chest pain?"", ""Is the cough dry or productive?"", ""Has the student had contact with someone with similar symptoms?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""vomiting"", ""fever"", ""difficulty breathing"", ""chest pain"", ""blue lips""]","[""viral upper respiratory infection"", ""allergy or irritant exposure"", ""bacterial infection in selected cases"", ""close-contact transmission in hostels/classrooms""]","Common in crowded lecture halls, hostels, shared transport, and during seasonal outbreaks.",Routine to urgent depending on red flags,"Screen for respiratory red flags, check temperature and SpO₂, and refer promptly if breathing difficulty, chest pain, low oxygen, or persistent high fever is present.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Otitis Media"", ""Common cold"", ""Influenza-like illness"", ""COVID-like illness"", ""Allergic rhinitis"", ""Pneumonia"", ""Asthma-like episode""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0051,Seasonal Allergies (hay Fever),Infectious/Fever,Infectious,"Screening profile for Seasonal Allergies (hay Fever). This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context. Allergy-focused entry: includes trigger investigation, repeated exposure pattern, skin/airway symptoms, and emergency swelling or breathing red flags.","[""lacrimation"", ""ear pain"", ""frontal headache"", ""coryza"", ""headache"", ""allergic reaction"", ""sneezing"", ""cough"", ""nasal congestion"", ""sore throat"", ""itchy eyes"", ""watery eyes"", ""runny nose"", ""catarrh"", ""fever"", ""chills"", ""body pain"", ""fatigue"", ""itching"", ""rash""]","[""sneezing"", ""itchy eyes"", ""confusion"", ""stiff neck"", ""persistent vomiting"", ""seizure"", ""very high fever"", ""difficulty breathing"", ""facial swelling"", ""tongue swelling"", ""wheezing"", ""collapse""]","[""Was there exposure to food, drug, dust, pollen, insect bite, latex, or cosmetics?"", ""Did symptoms start suddenly after exposure?"", ""Is there facial, lip, tongue, or throat swelling?"", ""Any wheezing or breathing difficulty?"", ""Have similar symptoms happened before?"", ""Are you experiencing lacrimation?"", ""Are you experiencing ear pain?"", ""Are you experiencing frontal headache?"", ""Are you experiencing coryza?"", ""Are you experiencing headache?"", ""How many days have you had the respiratory symptoms?"", ""When did the fever start?"", ""Is the fever continuous or intermittent?"", ""Any chills, sweating, headache, or body pain?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""sneezing"", ""itchy eyes"", ""confusion"", ""stiff neck"", ""persistent vomiting""]","[""mosquito exposure"", ""unsafe food or water exposure"", ""close-contact infection"", ""travel or community outbreak exposure""]","Relevant in African university settings due to malaria risk, water/food safety, outbreaks, and close-contact living.",Routine to urgent depending on red flags,"Assess fever pattern, hydration, mental status, and red flags; encourage proper clinical testing before treatment.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Seasonal Allergies (hay Fever)"", ""Malaria-like illness"", ""Typhoid-like illness"", ""Viral fever"", ""Meningitis concern"", ""Sepsis concern""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0052,Urinary Tract Infection,Infectious/Fever,Infectious,"Screening profile for Urinary Tract Infection. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""suprapubic pain"", ""painful urination"", ""side pain"", ""vomiting"", ""blood in urine"", ""frequent urination"", ""back pain"", ""lower abdominal pain"", ""nausea"", ""retention of urine"", ""fever"", ""chills"", ""headache"", ""body pain"", ""fatigue""]","[""vomiting"", ""blood in urine"", ""fever"", ""confusion"", ""stiff neck"", ""persistent vomiting"", ""seizure"", ""very high fever"", ""difficulty breathing""]","[""Are you experiencing vomiting?"", ""Are you experiencing blood in urine?"", ""Are you experiencing fever?"", ""Are you experiencing suprapubic pain?"", ""Are you experiencing painful urination?"", ""Are you experiencing side pain?"", ""When did the fever start?"", ""Is the fever continuous or intermittent?"", ""Any chills, sweating, headache, or body pain?"", ""Any vomiting, neck stiffness, rash, or confusion?"", ""Any recent travel, mosquito exposure, unsafe water, or sick contact?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""vomiting"", ""blood in urine"", ""fever"", ""confusion"", ""stiff neck""]","[""mosquito exposure"", ""unsafe food or water exposure"", ""close-contact infection"", ""travel or community outbreak exposure""]","Relevant in African university settings due to malaria risk, water/food safety, outbreaks, and close-contact living.",Routine to urgent depending on red flags,"Assess fever pattern, hydration, mental status, and red flags; encourage proper clinical testing before treatment.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Urinary Tract Infection"", ""Malaria-like illness"", ""Typhoid-like illness"", ""Viral fever"", ""Meningitis concern"", ""Sepsis concern""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0053,Actinic Keratosis,Dermatology,Dermatology,"Screening profile for Actinic Keratosis. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""symptoms of the face"", ""irregular appearing scalp"", ""skin dryness, peeling, scaliness, or roughness"", ""skin moles"", ""itching of skin"", ""abnormal appearing skin"", ""skin growth"", ""skin irritation"", ""skin rash"", ""skin swelling"", ""rash"", ""itching"", ""skin redness"", ""swelling"", ""pain""]","[""rapidly spreading rash"", ""facial swelling"", ""difficulty breathing"", ""skin peeling"", ""fever with rash"", ""severe pain""]","[""Are you experiencing symptoms of the face?"", ""Are you experiencing irregular appearing scalp?"", ""Are you experiencing skin dryness, peeling, scaliness, or roughness?"", ""Are you experiencing skin moles?"", ""Are you experiencing itching of skin?"", ""Is the skin problem spreading, painful, or producing discharge?"", ""Where is the rash located?"", ""Is it itchy, painful, blistering, or spreading?"", ""Any fever or facial swelling?"", ""Any new food, drug, cosmetic, or insect exposure?"", ""Are roommates or close contacts affected?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""rapidly spreading rash"", ""facial swelling"", ""difficulty breathing"", ""skin peeling"", ""fever with rash""]","[""infection"", ""inflammation"", ""injury"", ""stress"", ""environmental exposure""]",Relevant to student health screening and triage in campus clinics.,Routine to urgent depending on red flags,"Check for allergic reaction, infection spread, fever, and severe pain; refer urgently for breathing symptoms or rapidly spreading rash.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Actinic Keratosis"", ""Infection"", ""Inflammation"", ""Injury"", ""Stress-related symptoms""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0054,Conjunctivitis,Eye/Ear/Dental,Eye,"Screening profile for Conjunctivitis. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""sore throat"", ""pain in eye"", ""coryza"", ""swollen eye"", ""eye redness"", ""cough"", ""itchiness of eye"", ""fever"", ""nasal congestion"", ""white discharge from eye"", ""red eye"", ""itchy eyes"", ""eye discharge"", ""watery eyes"", ""eye pain"", ""ear pain"", ""tooth pain"", ""discharge""]","[""fever"", ""red eye"", ""itchy eyes"", ""vision loss"", ""severe eye pain"", ""facial swelling"", ""high fever"", ""ear discharge with severe pain"", ""dental swelling""]","[""Are you experiencing fever?"", ""Are you experiencing sore throat?"", ""Are you experiencing pain in eye?"", ""Are you experiencing coryza?"", ""Are you experiencing swollen eye?"", ""Are you experiencing eye redness?"", ""Is there pain, discharge, or swelling?"", ""Any vision loss or hearing loss?"", ""How long has it lasted?"", ""Any injury or foreign body?"", ""Any fever or facial swelling?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""fever"", ""red eye"", ""itchy eyes"", ""vision loss"", ""severe eye pain""]","[""infection"", ""allergy"", ""trauma"", ""poor dental hygiene"", ""irritant exposure""]","Common because of infections, allergies, screen use, noise exposure, and delayed dental care.",Routine to urgent depending on red flags,"Refer urgently for vision loss, severe eye pain, facial swelling, high fever, or severe dental infection signs.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Conjunctivitis"", ""Otitis media/externa"", ""Dental abscess concern"", ""Allergic eye disease""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0055,Contact Dermatitis,Dermatology/Skin,Dermatology,"Screening profile for Contact Dermatitis. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""skin moles"", ""allergic reaction"", ""itching of skin"", ""skin irritation"", ""skin dryness, peeling, scaliness, or roughness"", ""skin rash"", ""abnormal appearing skin"", ""swollen eye"", ""skin swelling"", ""acne or pimples"", ""rash"", ""itching"", ""skin redness"", ""swelling"", ""pain""]","[""rapidly spreading rash"", ""facial swelling"", ""difficulty breathing"", ""skin peeling"", ""fever with rash"", ""severe pain""]","[""Are you experiencing skin moles?"", ""Are you experiencing allergic reaction?"", ""Are you experiencing itching of skin?"", ""Are you experiencing skin irritation?"", ""Are you experiencing skin dryness, peeling, scaliness, or roughness?"", ""Is the skin problem spreading, painful, or producing discharge?"", ""Where is the rash located?"", ""Is it itchy, painful, blistering, or spreading?"", ""Any fever or facial swelling?"", ""Any new food, drug, cosmetic, or insect exposure?"", ""Are roommates or close contacts affected?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""rapidly spreading rash"", ""facial swelling"", ""difficulty breathing"", ""skin peeling"", ""fever with rash""]","[""fungal infection"", ""allergy/irritant exposure"", ""close-contact spread"", ""poor ventilation or shared items""]","Can spread through close contact, shared clothing/towels, sports, or hostel living.",Routine to urgent depending on red flags,"Check for allergic reaction, infection spread, fever, and severe pain; refer urgently for breathing symptoms or rapidly spreading rash.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Contact Dermatitis"", ""Allergic rash"", ""Fungal infection"", ""Scabies"", ""Cellulitis"", ""Eczema/dermatitis""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0056,Degenerative Disc Disease,Musculoskeletal,Musculoskeletal,"Screening profile for Degenerative Disc Disease. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""shoulder pain"", ""neck pain"", ""low back pain"", ""loss of sensation"", ""joint pain"", ""lower body pain"", ""paresthesia"", ""back pain"", ""leg pain"", ""hip pain"", ""pain"", ""swelling"", ""reduced movement"", ""tenderness""]","[""loss of sensation"", ""severe injury"", ""loss of movement"", ""numbness"", ""deformity"", ""severe back pain with weakness"", ""fever with joint pain""]","[""Are you experiencing loss of sensation?"", ""Are you experiencing shoulder pain?"", ""Are you experiencing neck pain?"", ""Are you experiencing low back pain?"", ""Are you experiencing joint pain?"", ""Was there an injury, fall, or sports activity before symptoms started?"", ""Was there an injury or fall?"", ""Can the student move the affected area?"", ""Any numbness, weakness, swelling, or deformity?"", ""How severe is the pain?"", ""Is there fever with joint pain?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""loss of sensation"", ""severe injury"", ""loss of movement"", ""numbness"", ""deformity""]","[""infection"", ""inflammation"", ""injury"", ""stress"", ""environmental exposure""]",Relevant to student health screening and triage in campus clinics.,Routine to urgent depending on red flags,"Assess function, swelling, neurovascular symptoms, and trauma severity; refer urgently for deformity, numbness, or severe pain.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Degenerative Disc Disease"", ""Infection"", ""Inflammation"", ""Injury"", ""Stress-related symptoms""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0057,Drug Reaction,Respiratory/ENT,Respiratory,"Screening profile for Drug Reaction. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""nausea"", ""skin rash"", ""allergic reaction"", ""headache"", ""peripheral edema"", ""vomiting"", ""dizziness"", ""itching of skin"", ""abnormal appearing skin"", ""shortness of breath"", ""cough"", ""sore throat"", ""runny nose"", ""catarrh"", ""sneezing""]","[""vomiting"", ""shortness of breath"", ""throat swelling"", ""difficulty breathing"", ""chest pain"", ""blue lips"", ""low spo2"", ""coughing blood"", ""severe wheezing""]","[""Are you experiencing vomiting?"", ""Are you experiencing shortness of breath?"", ""Are you experiencing throat swelling?"", ""Are you experiencing nausea?"", ""Are you experiencing skin rash?"", ""Are you experiencing allergic reaction?"", ""How long has the cough or throat symptom been present?"", ""Is there fever, chills, or body pain?"", ""Is there shortness of breath or chest pain?"", ""Is the cough dry or productive?"", ""Has the student had contact with someone with similar symptoms?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""vomiting"", ""shortness of breath"", ""throat swelling"", ""difficulty breathing"", ""chest pain""]","[""viral upper respiratory infection"", ""allergy or irritant exposure"", ""bacterial infection in selected cases"", ""close-contact transmission in hostels/classrooms""]","Common in crowded lecture halls, hostels, shared transport, and during seasonal outbreaks.",Routine to urgent depending on red flags,"Screen for respiratory red flags, check temperature and SpO₂, and refer promptly if breathing difficulty, chest pain, low oxygen, or persistent high fever is present.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Drug Reaction"", ""Common cold"", ""Influenza-like illness"", ""COVID-like illness"", ""Allergic rhinitis"", ""Pneumonia"", ""Asthma-like episode""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0058,Eustachian Tube Dysfunction (ear Disorder),Respiratory/ENT,Respiratory,"Screening profile for Eustachian Tube Dysfunction (ear Disorder). This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""sore throat"", ""abnormal breathing sounds"", ""ringing in ear"", ""ear pain"", ""diminished hearing"", ""swollen or red tonsils"", ""redness in ear"", ""allergic reaction"", ""dizziness"", ""plugged feeling in ear"", ""cough"", ""runny nose"", ""catarrh"", ""sneezing""]","[""abnormal breathing sounds"", ""difficulty breathing"", ""chest pain"", ""blue lips"", ""low spo2"", ""coughing blood"", ""severe wheezing""]","[""Are you experiencing abnormal breathing sounds?"", ""Are you experiencing sore throat?"", ""Are you experiencing ringing in ear?"", ""Are you experiencing ear pain?"", ""Are you experiencing diminished hearing?"", ""How many days have you had the respiratory symptoms?"", ""How long has the cough or throat symptom been present?"", ""Is there fever, chills, or body pain?"", ""Is there shortness of breath or chest pain?"", ""Is the cough dry or productive?"", ""Has the student had contact with someone with similar symptoms?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""abnormal breathing sounds"", ""difficulty breathing"", ""chest pain"", ""blue lips"", ""low spo2""]","[""viral upper respiratory infection"", ""allergy or irritant exposure"", ""bacterial infection in selected cases"", ""close-contact transmission in hostels/classrooms""]","Common in crowded lecture halls, hostels, shared transport, and during seasonal outbreaks.",Routine to urgent depending on red flags,"Screen for respiratory red flags, check temperature and SpO₂, and refer promptly if breathing difficulty, chest pain, low oxygen, or persistent high fever is present.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Eustachian Tube Dysfunction (ear Disorder)"", ""Common cold"", ""Influenza-like illness"", ""COVID-like illness"", ""Allergic rhinitis"", ""Pneumonia"", ""Asthma-like episode""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0059,Macular Degeneration,Eye/Dental/Oral,Eye,"Screening profile for Macular Degeneration. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""double vision"", ""foreign body sensation in eye"", ""blindness"", ""lacrimation"", ""abnormal movement of eyelid"", ""bleeding from eye"", ""spots or clouds in vision"", ""pain in eye"", ""diminished vision"", ""itchiness of eye"", ""eye pain"", ""red eye"", ""ear pain"", ""tooth pain"", ""discharge""]","[""vision loss"", ""severe eye pain"", ""facial swelling"", ""high fever"", ""ear discharge with severe pain"", ""dental swelling""]","[""Are you experiencing double vision?"", ""Are you experiencing foreign body sensation in eye?"", ""Are you experiencing blindness?"", ""Are you experiencing lacrimation?"", ""Are you experiencing abnormal movement of eyelid?"", ""Do you have severe pain, swelling, discharge, or vision changes?"", ""Is there pain, discharge, or swelling?"", ""Any vision loss or hearing loss?"", ""How long has it lasted?"", ""Any injury or foreign body?"", ""Any fever or facial swelling?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""vision loss"", ""severe eye pain"", ""facial swelling"", ""high fever"", ""ear discharge with severe pain""]","[""infection"", ""inflammation"", ""injury"", ""stress"", ""environmental exposure""]",Relevant to student health screening and triage in campus clinics.,Routine to urgent depending on red flags,"Refer urgently for vision loss, severe eye pain, facial swelling, high fever, or severe dental infection signs.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Macular Degeneration"", ""Infection"", ""Inflammation"", ""Injury"", ""Stress-related symptoms""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0060,Panic Disorder,Mental Health/Neurology,Mental Health,"Screening profile for Panic Disorder. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""depressive or psychotic symptoms"", ""dizziness"", ""insomnia"", ""abnormal involuntary movements"", ""breathing fast"", ""chest tightness"", ""irregular heartbeat"", ""palpitations"", ""depression"", ""anxiety and nervousness"", ""anxiety"", ""shortness of breath"", ""headache"", ""fatigue"", ""poor sleep""]","[""chest tightness"", ""shortness of breath"", ""anxiety"", ""palpitations"", ""seizure"", ""fainting"", ""confusion"", ""new weakness"", ""severe headache"", ""neck stiffness""]","[""Are you experiencing chest tightness?"", ""Are you experiencing shortness of breath?"", ""Are you experiencing depressive or psychotic symptoms?"", ""Are you experiencing dizziness?"", ""Are you experiencing insomnia?"", ""Are you experiencing abnormal involuntary movements?"", ""When did the symptom start?"", ""Is there fever, neck stiffness, fainting, or confusion?"", ""Any recent stress, poor sleep, or panic symptoms?"", ""Any head injury?"", ""Is the headache sudden or severe?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""chest tightness"", ""shortness of breath"", ""anxiety"", ""palpitations"", ""seizure""]","[""stress"", ""sleep deprivation"", ""infection-related headache"", ""dehydration"", ""neurological causes if red flags are present""]","Relevant to academic stress, sleep deprivation, examinations, and social pressures.",Routine to urgent depending on red flags,"Screen for neurological red flags and urgent symptoms; encourage mental health support for stress, anxiety, or persistent low mood.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Panic Disorder"", ""Tension headache"", ""Migraine"", ""Anxiety/panic"", ""Meningitis concern"", ""Seizure disorder""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
